name,lvl
ACCEPTANCE,2
ACHIEVEMENT,3
ADVENTURE,4
ART,4
ATTRACTIVENESS,4
ACCURACY,5
AUTHORITY,1
AUTONOMY,5
BEAUTY,4
BELONGING,3
CARING,4
CHALLENGE,3
COMFORT,3
COMMITMENT,3
COMPASSION,4
COMPLEXITY,4
COMPROMISE,3
CONTRIBUTION,2
COOPERATION,3
COURAGE,5
COURTESY,4
CREATIVITY,4
CURIOSITY,4
DEPENDABILITY,4
DILIGENCE,4
DUTY,3
ECOLOGY,4
EXCITEMENT,2
FAITHFULNESS,4
FAME,1
FAMILY,3
FITNESS,4
FLEXIBILITY,4
FORGIVENESS,5
FREEDOM,5
FRIENDSHIP,4
FUN,4
GENEROSITY,4
GENUINENESS,5
FLOW,3
GRATITUDE,4
GROWTH,5
HEALTH,4
HONESTY,3
HOPE,1
HUMILITY,4
HUMOR,4
IMAGINATION,5
INDEPENDENCE,5
INDUSTRY,1
INNER_PEACE,3
INTEGRITY,3
INTELLIGENCE,5
INTIMACY,4
JUSTICE,2
KNOWLEDGE,5
LEADERSHIP,1
LEISURE,2
LOVED,4
LOVING,5
MASTERY,1
MINDFULNESS,3
MODERATION,2
MONOGAMY,3
MUSIC,5
NON_CONFORMITY,3
NOVELTY,3
NURTURANCE,5
OPENNESS,5
ORDER,1
PASSION,4
PATRIOTISM,1
PLEASURE,3
POPULARITY,1
POWER,3
PRACTICALITY,1
PROTECT,5
PROVIDE,5
PURPOSE,1
RATIONALITY,4
REALISM,3
RESPONSIBILITY,3
RISK,2
ROMANCE,4
SAFETY,2
SELF_ACCEPTANCE,2
SELF_CONTROL,4
SELF_ESTEEM,3
SELF_KNOWLEDGE,5
SERVICE,3
SEXUALITY,4
SIMPLICITY,3
SOLITUDE,4
SPIRITUALITY,1
STABILITY,1
TOLERANCE,4
TRADITION,1
VIRTUE,5
WEALTH,4